timestamp,productID,quantity,price
1747024283,iPhone 15 Pro Max,2,1199
1747024283,iPhone 15 Pro Max,1,1199
1747024283,Apple TV 4K,2,129
1747024283,Apple TV 4K,1,129
1747024284,iPad Mini,2,499
1747024284,Apple Watch Ultra 2,1,799
1747024284,iPhone 15 Pro Max,2,1199
1747024284,AirPods Max,3,549
1747024284,iPad Pro,1,1099
1747024284,iPad Pro,3,1099
1747024284,Apple Watch Series 9,1,399
1747024284,iPhone 15,3,799
1747024284,iPad Mini,3,499
1747024284,Apple TV 4K,1,129
1747024285,AirPods Pro,1,249
1747024285,HomePod Mini,1,99
1747024285,iPhone 15 Pro Max,1,1199
1747024285,iPhone 15,2,799
1747024285,Apple Watch Ultra 2,3,799
1747024285,Apple TV 4K,1,129
1747024285,Apple Watch Series 9,1,399
1747024285,AirPods Max,3,549
1747024285,iPad Mini,3,499
1747024286,AirPods Pro,3,249
1747024286,Apple Watch Series 9,3,399
1747024286,iPad Pro,2,1099
1747024286,iPad Mini,1,499
1747024286,AirPods Pro,3,249
1747024286,MacBook Air,1,999
1747024286,iPhone 15 Pro Max,1,1199
1747024286,Apple TV 4K,1,129
1747024286,iPhone 15,1,799
1747024286,AirPods Max,1,549
1747024287,MacBook Pro 16",3,2499
1747024287,HomePod Mini,1,99
1747024287,AirPods Max,1,549
1747024287,MacBook Air,1,999
1747024287,HomePod Mini,1,99
1747024287,MacBook Air,3,999
1747024287,AirPods Pro,1,249
1747024287,MacBook Air,1,999
1747024287,Apple TV 4K,1,129
1747024287,iPhone 15 Pro Max,3,1199
1747024288,AirPods Max,3,549
1747024288,Apple Watch Ultra 2,3,799
1747024288,HomePod Mini,1,99
1747024288,iPad Mini,2,499
1747024288,MacBook Air,1,999
1747024288,Apple Watch Series 9,1,399
1747024288,Apple Watch Series 9,3,399
1747024288,MacBook Pro 16",3,2499
1747024288,iPhone 15,3,799
1747024289,HomePod Mini,3,99
1747024289,iPad Pro,3,1099
1747024289,Apple Watch Series 9,1,399
1747024289,iPad Mini,1,499
1747024289,Apple Watch Series 9,3,399
1747024289,MacBook Air,2,999
1747024289,HomePod Mini,1,99
1747024289,Apple Watch Series 9,3,399
1747024289,HomePod Mini,1,99
1747024289,iPhone 15 Pro Max,2,1199
1747024290,iPhone 15 Pro Max,1,1199
1747024290,AirPods Max,2,549
1747024290,MacBook Pro 16",1,2499
1747024290,AirPods Max,3,549
1747024290,iPad Mini,1,499
1747024290,iPhone 15 Pro Max,3,1199
1747024290,MacBook Pro 16",1,2499
1747024290,MacBook Air,3,999
1747024290,Apple Watch Ultra 2,1,799
1747024290,MacBook Pro 16",1,2499
1747024291,MacBook Air,3,999
1747024291,iPad Pro,3,1099
1747024291,MacBook Pro 16",3,2499
1747024291,Apple Watch Ultra 2,2,799
1747024291,HomePod Mini,3,99
1747024291,Apple TV 4K,3,129
1747024291,iPhone 15 Pro Max,1,1199
1747024291,iPad Mini,2,499
1747024291,HomePod Mini,1,99
1747024292,MacBook Pro 16",2,2499
1747024292,Apple Watch Series 9,1,399
1747024292,iPad Mini,1,499
1747024292,MacBook Air,1,999
1747024292,Apple Watch Series 9,2,399
1747024292,MacBook Air,3,999
1747024292,Apple Watch Ultra 2,2,799
1747024292,Apple Watch Ultra 2,3,799
1747024292,iPad Pro,2,1099
1747024292,AirPods Max,3,549
1747024293,iPad Mini,3,499
1747024293,AirPods Max,1,549
1747024293,iPad Pro,3,1099
1747024293,AirPods Max,1,549
1747024293,AirPods Max,3,549
1747024293,Apple Watch Ultra 2,1,799
1747024293,HomePod Mini,2,99
1747024293,HomePod Mini,3,99
1747024293,MacBook Pro 16",3,2499
